geo,rise,energy
AT,3.0050000000000026,56.7
BE,1.3499999999999996,69.2
CZ,8.324999999999998,41.3
DE,1.7149999999999999,44.2
DK,6.6,56.8
EE,-4.694999999999999,100.1
EL,-0.054999999999999716,61.0
ES,3.6000000000000014,60.3
FI,0.629999999999999,40.7
FR,3.084999999999999,33.8
HU,3.6549999999999976,38.7
IE,-1.1999999999999993,54.1
IT,0.8600000000000012,71.7
LT,4.914999999999999,73.1
LV,-5.285,70.2
NL,-0.1850000000000005,113.8
PL,0.0649999999999995,38.8
PT,3.7249999999999996,31.9
SE,0.8099999999999987,40.3
SI,0.5650000000000013,40.6
SK,-1.8949999999999996,21.7
