year,currency & overnight deposits,time / savings deposits,bonds (debt securities),equity & investment funds,insurance & pensions,saving
2002,153.47320000000002,73.9115,84.0591,-24.654,213.3307,13.985
2003,146.69320000000002,78.343,4.1051,58.9981,241.21529999999998,13.99
2004,148.79640000000003,113.9205,76.7845,-23.772,264.72240000000005,13.8375
2005,193.0586,71.20410000000001,29.8056,45.5881,305.5949,12.915
2006,125.336,168.7753,77.5829,18.3171,278.4631,12.8525
2007,47.7307,271.2878,110.2441,-39.8885,214.37570000000002,12.675
2008,43.2669,337.2062,40.9273,-163.2995,129.7999,12.975
2009,257.5381,-86.0102,-44.5287,96.3672,236.74620000000002,14.155
2010,87.2178,68.3148,-53.837,82.8197,246.5295,12.975
2011,35.2011,128.4375,79.7464,-24.7972,108.10130000000001,12.4875
2012,80.7037,136.95770000000002,-112.144,45.0313,139.3265,11.9875
2013,181.4486,-23.5706,-132.578,69.26989999999999,175.216,12.1325
2014,219.4086,-57.2921,-203.13979999999998,147.6104,249.2841,12.3225
2015,335.9541,-137.4992,-170.7597,217.35,214.47639999999998,12.515
2016,368.0878,-68.5662,-130.93030000000002,140.7299,185.05710000000002,12.5425
2017,315.79990000000004,-70.70660000000001,-93.6628,164.2202,187.45270000000002,12.4475
2018,332.5244,-10.8824,-18.5766,32.8053,173.6746,12.4925
2019,387.4165,38.647800000000004,-52.4909,43.208400000000005,192.7864,13.015
2020,685.6691,42.1563,-43.5743,254.9507,116.91210000000001,19.4525
2021,503.0625,-3.0999,-40.378099999999996,341.5688,145.3017,17.32
2022,236.6562,98.7762,95.7403,162.22879999999998,117.28689999999999,13.4525
2023,-423.5235,527.5042,310.69579999999996,46.4991,61.930699999999995,14.1725
2024,61.3046,279.7124,70.6715,243.0036,155.4294,15.0525
2025,341.324,9.188,30.5237,257.4119,219.9879,14.85
