date,saving,trend,cycle
1999-01-01,14.33,13.613617737100709,0.7163822628992911
1999-04-01,14.11,13.613137172510138,0.49686282748986166
1999-07-01,13.71,13.613104346833875,0.09689565316612558
1999-10-01,13.12,13.61427753825341,-0.49427753825341014
2000-01-01,12.78,13.617475584733459,-0.8374755847334594
2000-04-01,12.93,13.623208400777328,-0.693208400777328
2000-07-01,13.19,13.631462478647855,-0.44146247864785515
2000-10-01,13.34,13.641791055357388,-0.3017910553573877
2001-01-01,13.37,13.653471453869125,-0.28347145386912587
2001-04-01,13.29,13.66559237773668,-0.3755923777366803
2001-07-01,14.03,13.677065360854984,0.35293463914501544
2001-10-01,13.97,13.686567191882892,0.2834328081171087
2002-01-01,13.81,13.692995243628722,0.11700475637127816
2002-04-01,14.27,13.695424034405878,0.5745759655941214
2002-07-01,13.77,13.69300121050049,0.076998789499509
2002-10-01,14.09,13.68523352817719,0.40476647182281056
2003-01-01,14.16,13.67167586794406,0.48832413205593994
2003-04-01,13.88,13.65213608935408,0.2278639106459206
2003-07-01,14.18,13.626727254542761,0.5532727454572388
2003-10-01,13.74,13.595704840589777,0.1442951594102233
2004-01-01,13.97,13.55967012004071,0.41032987995929027
2004-04-01,13.89,13.51931454991578,0.3706854500842205
2004-07-01,14.1,13.475586043410186,0.6244139565898141
2004-10-01,13.39,13.429664192125431,-0.039664192125430375
2005-01-01,13.21,13.383118846385889,-0.17311884638588815
2005-04-01,12.94,13.337495066395858,-0.39749506639585874
2005-07-01,12.64,13.29422971308065,-0.6542297130806496
2005-10-01,12.87,13.254511212949081,-0.3845112129490822
2006-01-01,12.58,13.219119098939293,-0.6391190989392932
2006-04-01,12.53,13.18859258448133,-0.6585925844813314
2006-07-01,13.04,13.163071433568405,-0.12307143356840555
2006-10-01,13.26,13.14228378982842,0.1177162101715794
2007-01-01,12.75,13.125880877243304,-0.3758808772433042
2007-04-01,12.61,13.11358749242634,-0.503587492426341
2007-07-01,12.57,13.104893506442531,-0.5348935064425309
2007-10-01,12.77,13.09897404817411,-0.3289740481741106
2008-01-01,12.44,13.094669938061786,-0.6546699380617866
2008-04-01,12.83,13.090616387766161,-0.26061638776616114
2008-07-01,12.85,13.08503944023655,-0.23503944023654988
2008-10-01,13.78,13.076002253179912,0.7039977468200878
2009-01-01,14.02,13.06142108465306,0.9585789153469388
2009-04-01,14.33,13.039652191304569,1.2903478086954312
2009-07-01,14.24,13.0096509416051,1.2303490583949
2009-10-01,14.03,12.971179171405756,1.0588208285942429
2010-01-01,13.34,12.924767684719145,0.41523231528085525
2010-04-01,13.16,12.87160904857574,0.28839095142425997
2010-07-01,12.99,12.813155350203065,0.17684464979693537
2010-10-01,12.41,12.751038921173276,-0.3410389211732756
2011-01-01,12.37,12.687002620964657,-0.3170026209646579
2011-04-01,12.56,12.622576159729757,-0.0625761597297565
2011-07-01,12.2,12.559091120983021,-0.3590911209830221
2011-10-01,12.82,12.497839978139067,0.32216002186093284
2012-01-01,11.98,12.4398907726619,-0.45989077266190037
2012-04-01,12.36,12.38651289602919,-0.026512896029190713
2012-07-01,11.98,12.338688307985695,-0.3586883079856946
2012-10-01,11.63,12.297382397716152,-0.6673823977161515
2013-01-01,12.12,12.2633363742128,-0.14333637421280088
2013-04-01,12.17,12.236874332469302,-0.06687433246930219
2013-07-01,11.95,12.218230782245437,-0.2682307822454373
2013-10-01,12.29,12.207598436843194,0.08240156315680558
2014-01-01,12.32,12.20500236532566,0.11499763467434043
2014-04-01,12.07,12.210519137732897,-0.14051913773289648
2014-07-01,12.58,12.224297197626633,0.3557028023733668
2014-10-01,12.32,12.246397164107515,0.07360283589248517
2015-01-01,12.58,12.277101970527674,0.3028980294723258
2015-04-01,12.38,12.316740552011671,0.0632594479883295
2015-07-01,12.48,12.365831154952486,0.11416884504751401
2015-10-01,12.62,12.42493156289809,0.19506843710190935
2016-01-01,12.73,12.494670914924605,0.23532908507539574
2016-04-01,12.56,12.575800267881347,-0.01580026788134603
2016-07-01,12.65,12.669217759295796,-0.01921775929579539
2016-10-01,12.23,12.775811651528006,-0.5458116515280054
2017-01-01,12.27,12.89645819583847,-0.6264581958384703
2017-04-01,12.46,13.031692511205474,-0.5716925112054732
2017-07-01,12.44,13.181658180234905,-0.7416581802349054
2017-10-01,12.62,13.34614147771315,-0.726141477713151
2018-01-01,12.23,13.524465142063955,-1.2944651420639541
2018-04-01,12.44,13.715498073287497,-1.2754980732874976
2018-07-01,12.48,13.917300130670162,-1.4373001306701614
2018-10-01,12.82,14.127133987202532,-1.3071339872025316
2019-01-01,13.35,14.341364003293517,-0.9913640032935174
2019-04-01,13.14,14.555537580610018,-1.4155375806100174
2019-07-01,12.91,14.764582518316876,-1.8545825183168763
2019-10-01,12.66,14.962541904591049,-2.302541904591049
2020-01-01,17.08,15.142299713535545,1.9377002864644535
2020-04-01,25.1,15.295300830562999,9.804699169437002
2020-07-01,16.52,15.414201203765089,1.105798796234911
2020-10-01,19.11,15.497784718214385,3.6122152817856144
2021-01-01,20.43,15.545526383231108,4.884473616768892
2021-04-01,18.81,15.559158842686589,3.2508411573134097
2021-07-01,15.06,15.543467536462641,-0.4834675364626406
2021-10-01,14.98,15.505269680164409,-0.5252696801644081
2022-01-01,14.22,15.451080322186735,-1.2310803221867346
2022-04-01,12.81,15.38708621737436,-2.57708621737436
2022-07-01,13.31,15.318704695370661,-2.0087046953706604
2022-10-01,13.47,15.249742406933159,-1.779742406933158
2023-01-01,13.77,15.182750562384769,-1.412750562384769
2023-04-01,13.93,15.119168033044067,-1.1891680330440675
2023-07-01,14.15,15.059550721128144,-0.9095507211281433
2023-10-01,14.84,15.003711298833428,-0.1637112988334284
2024-01-01,15.15,14.950893969155647,0.1991060308443533
2024-04-01,15.23,14.900240615528757,0.3297593844712434
2024-07-01,15.02,14.851017562655986,0.1689824373440132
2024-10-01,14.81,14.802697234855856,0.0073027651441446295
2025-01-01,15.06,14.75485767047023,0.3051423295297706
2025-04-01,15.14,14.70708147206919,0.432918527930811
2025-07-01,14.78,14.659141956178782,0.12085804382121701
2025-10-01,14.42,14.611083013404997,-0.191083013404997
