year,tilt_bn,saving
2002,4.4973999999999945,13.985
2003,-64.24510000000001,13.99
2004,41.90859999999998,13.8375
2005,-92.0489,12.915
2006,121.02220000000001,12.8525
2007,333.8012,12.675
2008,334.86659999999995,12.975
2009,-388.077,14.155
2010,-72.74,12.975
2011,172.9828,12.4875
2012,-55.889999999999986,11.9875
2013,-337.5972,12.1325
2014,-479.8405,12.3225
2015,-644.213,12.515
2016,-567.5843000000001,12.5425
2017,-480.1693,12.4475
2018,-361.9834,12.4925
2019,-401.2596,13.015
2020,-687.0871,19.4525
2021,-546.5405,17.32
2022,-42.13970000000001,13.4525
2023,1261.7235,14.1725
2024,289.07930000000005,15.0525
2025,-301.6123,14.85
