year,coef,se,p
2014,0.3853636363636266,1.4981185294910395,0.7969998830408429
2015,0.026363636363617715,1.4662384604029597,0.9856544446132153
2016,0.28190909090909066,1.4817417339739567,0.8491091465271482
2017,0.11772727272725847,1.663576544121401,0.9435827409549344
2018,1.6996363636363547,1.846365650786709,0.357295469742411
2019,1.184727272727259,1.371767198814507,0.3877799754118255
2020,0.7151818181818062,1.1953134083843262,0.5496253738895356
2021,0.0,0.0,0.0
2022,-0.059818181818194205,1.3565475450206796,0.9648279627389376
2023,0.17445454545454253,1.8356930805000016,0.9242872631851017
2024,0.476999999999995,1.710454556771769,0.7803421073858846
2025,-0.4125867768595137,2.004838207268541,0.836950619206559
