year,real_income,real_consumption,saving_rate,deflator
2002,6131708.307692307,5274155.076923077,13.985551623410055,81.25
2003,6211775.32742681,5342687.066640986,13.990980274971388,83.072
2004,6317633.459932533,5443394.824373098,13.838071504211182,84.782
2005,6385264.094886882,5560758.586407408,12.912647813094908,86.503
2006,6525148.841465482,5686129.218116295,12.85822766663908,88.517
2007,6629550.368441954,5789220.315050964,12.675521063858818,90.652
2008,6672812.265465853,5807063.36442586,12.97427331382521,93.27
2009,6688641.6128823375,5742072.657413604,14.151870154941818,92.654
2010,6652297.867366565,5789302.829697479,12.972870311549832,94.109
2011,6627657.364808026,5799829.679402632,12.4904864765764,96.289
2012,6516585.2464533765,5735173.532141437,11.991106766535562,98.051
2013,6475449.880535926,5689846.057685522,12.132034643829012,99.193
2014,6540738.326379974,5734445.202182285,12.327249371003944,99.712
2015,6674125.0,5838988.0,12.513056018579215,100.0
2016,6800320.356570791,5947376.956214619,12.542709027350456,100.513
2017,6901843.295368708,6042793.097697598,12.446677806312302,101.937
2018,7010949.743312618,6134824.56478944,12.49652629957688,103.628
2019,7151277.161735682,6220614.792002364,13.013932318453678,104.881
2020,7120328.1703224825,5737854.2855517855,19.4158864538584,105.494
2021,7277311.072218982,6019902.584474632,17.278476559075315,107.991
2022,7337427.250570286,6350478.3464737665,13.45088503630221,115.293
2023,7421733.913426769,6369368.781069146,14.179516012024251,122.509
2024,7596185.7141717905,6452936.673126151,15.050293484077134,125.397
2025,7671378.453556696,6532307.944743093,14.848305742728993,127.984
