geo,old_age_dep,f6_share,saving
DE,35.9,26.326192910541977,20.04
FR,35.5,31.264441447762323,17.93
IT,39.0,18.34916622847444,11.21
ES,31.2,11.60732213080455,12.74
NL,32.4,50.17653377393829,16.54
BE,31.8,17.579750938097895,12.92
AT,30.9,14.728900577623985,17.34
FI,38.1,15.103969065425169,12.42
IE,23.8,46.281079963035985,13.49
PT,38.6,10.125500257506273,12.53
EL,37.4,5.103501639605301,-2.51
PL,32.7,13.606789649842186,7.77
CZ,32.4,7.314145247989946,19.86
SK,28.7,22.274381439851442,8.06
HU,32.2,5.933749514396154,19.04
SI,34.9,10.902366863905325,13.31
EE,32.9,0.9130942635548551,7.3
LV,34.7,23.874380687313714,4.94
LT,32.1,14.077963150507257,7.63
SE,33.4,38.63523291604957,18.7
DK,32.8,41.39543048465105,14.29
