year,services,goods,serv_share,goods_share,goods_idx,services_idx,saving
1995,2253105.0,2176463.8,50.86510903724986,49.13489096275014,78.37836163776154,67.48004130436645,
1996,2302274.7,2218656.1,50.924794071167824,49.075205928832176,79.89778196891015,68.95266392378424,
1997,2354847.6,2258035.3,51.04936871473585,48.95063128526415,81.31589752801374,70.52721169829555,
1998,2428020.1,2328073.6,51.0507204683541,48.9492795316459,83.83810221889537,72.71871334706192,
1999,2515684.5,2399780.0999999996,51.178977059462504,48.821022940537496,86.42038178117346,75.34424448428034,13.817499999999999
2000,2610920.7,2458428.9000000004,51.50405685179022,48.49594314820978,88.5324301671934,78.19654950764628,13.059999999999999
2001,2660469.9,2499433.0,51.56046444207312,48.43953555792688,90.00906128710034,79.68053807568829,13.665
2002,2694002.1,2512756.8,51.74048101209372,48.25951898790628,90.48887520120687,80.68482071721023,13.985
2003,2723661.4,2541215.4,51.73267112347244,48.26732887652756,91.51372038471253,81.57311078316746,13.99
2004,2776189.1,2576389.1,51.86639029393349,48.13360970606651,92.78038835260527,83.14630482677545,13.8375
2005,2836292.6,2615172.8,52.028076707594984,47.971923292405016,94.17705888957926,84.94639255572594,12.915
2006,2898904.2,2663078.2,52.11998153751799,47.88001846248201,95.90221818954173,86.82159737491212,12.8525
2007,2962775.0,2694234.1,52.37352366995486,47.62647633004514,97.02419797958001,88.73451498067968,12.675
2008,2981880.4,2680495.3,52.6612955053477,47.3387044946523,96.5294391717979,89.30671786564795,12.975
2009,2955876.8,2636774.2,52.85287424514778,47.14712575485222,94.95496401305616,88.5279152789677,14.155
2010,2988959.0,2648231.2,53.02214213031166,46.97785786968834,95.36755111387714,89.51872051105379,12.975
2011,3013506.3,2633385.5,53.36575246580783,46.63424753419217,94.83293085354212,90.25390720581974,12.4875
2012,3013497.8,2579115.4,53.883536948344656,46.116463051655344,92.8785673011056,90.2536526325304,11.9875
2013,3013011.0,2545172.6,54.20855475159187,45.79144524840813,91.65622624797244,90.23907307050068,12.1325
2014,3057671.8,2551886.1,54.50824921514759,45.49175078485241,91.89799141349236,91.5766550423511,12.3225
2015,3108702.0,2620438.0999999996,54.261231977901886,45.738768022098114,94.36667177794033,93.10499926233645,12.515
2016,3157288.9,2677476.0,54.11167294846789,45.88832705153211,96.42070876824474,94.56016713904488,12.5425
2017,3223500.5,2722313.3,54.21462239533973,45.78537760466027,98.03538028920494,96.54319123371786,12.4475
2018,3285752.2,2747665.6,54.459218786406595,45.540781213593405,98.94836204325433,98.40761712033523,12.4925
2019,3338920.6,2776868.2,54.595093277256396,45.404906722743604,100.0,100.0,13.015
2020,2879404.4,2706844.3,51.54450785551313,48.45549214448687,97.47831387892302,86.23758228931828,19.4525
2021,3035088.7,2820854.7,51.82920142295091,48.17079857704909,101.58403268833572,90.9002957422827,17.32
2022,3361086.3,2839520.7,54.20576243583894,45.79423756416106,102.2562287976073,100.66385825407168,13.4525
2023,3450729.8,2788977.7,55.30274936765866,44.69725063234134,100.43608479509398,103.34866303798898,14.1725
2024,3511609.9,2813399.0999999996,55.519445110670986,44.480554889329014,101.31554317198055,105.17200978064588,15.0525
2025,3556101.0,2863091.4000000004,55.397950059886035,44.602049940113965,103.10505194304866,106.50450927164904,14.85
