date,actual,mfdfm_diff,rw
2015-01-01,12.58,12.352226688719602,12.32
2015-04-01,12.38,12.50280398222965,12.58
2015-07-01,12.48,12.386635006239542,12.38
2015-10-01,12.62,12.420258338746514,12.48
2016-01-01,12.73,12.61649502858828,12.62
2016-04-01,12.56,12.716544453996605,12.73
2016-07-01,12.65,12.556469338088476,12.56
2016-10-01,12.23,12.626226110880623,12.65
2017-01-01,12.27,12.248374327886221,12.23
2017-04-01,12.46,12.22583319363209,12.27
2017-07-01,12.44,12.47411352342217,12.46
2017-10-01,12.62,12.452998545802043,12.44
2018-01-01,12.23,12.611297666708888,12.62
2018-04-01,12.44,12.261846924667179,12.23
2018-07-01,12.48,12.405422759945303,12.44
2018-10-01,12.82,12.521761836486654,12.48
2019-01-01,13.35,12.815553883046018,12.82
2019-04-01,13.14,13.378071835699458,13.35
2019-07-01,12.91,13.182761282212498,13.14
2019-10-01,12.66,12.882909595507234,12.91
2020-01-01,17.08,12.658968912721612,12.66
2020-04-01,25.1,16.967858649609802,17.08
2020-07-01,16.52,25.30799859141286,25.1
2020-10-01,19.11,17.16103979954825,16.52
2021-01-01,20.43,18.07879692966388,19.11
2021-04-01,18.81,20.980245364484478,20.43
2021-07-01,15.06,18.75493946229933,18.81
2021-10-01,14.98,14.981226096923876,15.06
2022-01-01,14.22,14.739593510803994,14.98
2022-04-01,12.81,14.34703128110039,14.22
2022-07-01,13.31,12.756229612412788,12.81
2022-10-01,13.47,13.269268668086221,13.31
2023-01-01,13.77,13.656867065727795,13.47
2023-04-01,13.93,13.89413501321652,13.77
2023-07-01,14.15,14.12881165043072,13.93
2023-10-01,14.84,14.33699248515321,14.15
2024-01-01,15.15,15.024464303651799,14.84
2024-04-01,15.23,15.362985918540312,15.15
2024-07-01,15.02,15.378429972507817,15.23
2024-10-01,14.81,15.151451728438401,15.02
2025-01-01,15.06,14.89615467906304,14.81
2025-04-01,15.14,15.129749297906686,15.06
2025-07-01,14.78,15.232695293614439,15.14
2025-10-01,14.42,14.846879848023736,14.78
