date,M1,M2,M3,instant_M1,term_M2_M1,mktbl_M3_M2
1999,1858.6965833333334,3996.0674166666663,4544.253083333333,1858.6965833333334,2137.370833333333,548.1856666666667
2000,2010.2754166666668,4183.8623333333335,4801.939583333333,2010.2754166666668,2173.5869166666666,618.0772499999994
2001,2158.18575,4472.627333333333,5205.663,2158.18575,2314.441583333333,733.0356666666667
2002,2323.2991666666667,4760.919,5572.73125,2323.2991666666667,2437.619833333333,811.81225
2003,2573.7464166666664,5102.73675,6000.949166666667,2573.7464166666664,2528.9903333333336,898.2124166666672
2004,2813.9205833333335,5409.820083333333,6339.491666666667,2813.9205833333335,2595.8994999999995,929.6715833333337
2005,3204.1295833333334,5847.274083333333,6824.574,3204.1295833333334,2643.1444999999994,977.2999166666668
2006,3554.7254166666667,6373.392,7417.0805,3554.7254166666667,2818.666583333333,1043.6885000000002
2007,3788.4280833333337,7024.365083333333,8248.468583333333,3788.4280833333337,3235.9369999999994,1224.1035000000002
2008,3882.1944166666667,7747.111333333333,9095.328916666665,3882.1944166666667,3864.9169166666666,1348.2175833333322
2009,4292.04975,8156.020916666667,9405.587333333335,4292.04975,3863.971166666667,1249.5664166666675
2010,4648.226333333333,8318.687583333332,9301.159833333333,4648.226333333333,3670.4612499999994,982.4722500000007
2011,4746.357166666667,8516.692416666667,9405.774833333335,4746.357166666667,3770.33525,889.082416666668
2012,4949.75075,8812.5645,9664.085833333334,4949.75075,3862.8137500000003,851.521333333334
2013,5268.553416666667,9142.046166666665,9833.78325,5268.553416666667,3873.4927499999985,691.7370833333352
2014,5602.667416666667,9401.832583333335,10020.867166666667,5602.667416666667,3799.1651666666676,619.0345833333322
2015,6340.386583333333,9972.8975,10623.447583333334,6340.386583333333,3632.510916666666,650.5500833333354
2016,6912.201166666667,10479.742083333334,11143.098916666666,6912.201166666667,3567.5409166666677,663.3568333333315
2017,7497.99725,10998.259916666666,11670.098333333333,7497.99725,3500.2626666666656,671.8384166666674
2018,8041.591416666667,11471.977333333334,12117.82475,8041.591416666667,3430.385916666667,645.8474166666656
2019,8659.24075,12105.790583333333,12745.298583333333,8659.24075,3446.5498333333326,639.5079999999998
2020,9701.7775,13169.184666666666,13857.588333333333,9701.7775,3467.407166666666,688.403666666667
2021,10845.778,14279.538583333335,15045.425166666666,10845.778,3433.7605833333346,765.8865833333311
2022,11556.4285,15160.024583333334,15936.373166666666,11556.4285,3603.596083333334,776.3485833333325
2023,10720.129416666667,15111.267666666667,16010.78425,10720.129416666667,4391.13825,899.516583333334
2024,10351.017666666667,15288.60225,16384.183666666668,10351.017666666667,4937.584583333333,1095.5814166666678
2025,10827.9145,15773.402083333334,16955.627333333334,10827.9145,4945.4875833333335,1182.2252499999995
2026,11267.038199999999,16280.256599999999,17424.3866,11267.038199999999,5013.2184,1144.1300000000028
