year,tilt_bn,rate
2002,4.4973999999999945,2.2146739130434785
2003,-64.24510000000001,1.2607982295482296
2004,41.90859999999998,1.0
2005,-92.0489,1.0176630434782608
2006,121.02220000000001,1.757275242873069
2007,333.8012,2.837362637362637
2008,334.86659999999995,3.005434782608696
2009,-388.077,0.4686965811965812
2010,-72.74,0.25
2011,172.9828,0.4978723721930244
2012,-55.889999999999986,0.13179347826086957
2013,-337.5972,0.0
2014,-479.8405,-0.08620102723363593
2015,-644.213,-0.20625
2016,-567.5843000000001,-0.3793956043956044
2017,-480.1693,-0.4
2018,-361.9834,-0.4
2019,-401.2596,-0.4285326086956522
2020,-687.0871,-0.5
2021,-546.5405,-0.5
2022,-42.13970000000001,0.07404891304347827
2023,1261.7235,3.3019272243457025
2024,289.07930000000005,3.7335538103201147
2025,-301.6123,2.261790293040293
